DATE;DE10;FR10;IT10;ES10;BreakFrance;BreakItaly;BreakSpain;Draghi
29.01.1999;3.632;3.733;3.885;3.876;0;0;0;0
26.02.1999;4.011;4.123;4.227;4.23;0;0;0;0
31.03.1999;4.001;4.126;4.233;4.259;0;0;0;0
30.04.1999;3.868;4.002;4.144;4.133;0;0;0;0
31.05.1999;4.116;4.255;4.447;4.433;0;0;0;0
30.06.1999;4.511;4.64;4.837;4.766;0;0;0;0
30.07.1999;4.811;4.961;5.086;5.07;0;0;0;0
31.08.1999;4.891;5.052;5.15;5.164;0;0;0;0
30.09.1999;5.08;5.222;5.315;5.325;0;0;0;0
29.10.1999;5.157;5.278;5.42;5.366;0;0;0;0
30.11.1999;5.125;5.241;5.357;5.335;0;0;0;0
31.12.1999;5.358;5.478;5.579;5.558;0;0;0;0
31.01.2000;5.541;5.657;5.782;5.771;0;0;0;0
29.02.2000;5.5;5.634;5.765;5.727;0;0;0;0
31.03.2000;5.216;5.341;5.507;5.441;0;0;0;0
28.04.2000;5.298;5.408;5.581;5.517;0;0;0;0
31.05.2000;5.191;5.361;5.572;5.475;0;0;0;0
30.06.2000;5.221;5.379;5.59;5.506;0;0;0;0
31.07.2000;5.206;5.354;5.557;5.484;0;0;0;0
31.08.2000;5.298;5.463;5.653;5.602;0;0;0;0
29.09.2000;5.23;5.381;5.608;5.521;0;0;0;0
31.10.2000;5.215;5.36;5.597;5.5;0;0;0;0
30.11.2000;5;5.117;5.37;5.325;0;0;0;0
29.12.2000;4.851;5.007;5.263;5.193;0;0;0;0
31.01.2001;4.797;4.939;5.182;5.119;0;0;0;0
28.02.2001;4.754;4.897;5.168;5.093;0;0;0;0
30.03.2001;4.705;4.85;5.134;5.048;0;0;0;0
30.04.2001;5.032;5.173;5.429;5.366;0;0;0;0
31.05.2001;5.173;5.295;5.547;5.465;0;0;0;0
29.06.2001;5.103;5.236;5.498;5.417;0;0;0;0
31.07.2001;4.88;4.996;5.271;5.184;0;0;0;0
31.08.2001;4.788;4.907;5.148;5.078;0;0;0;0
28.09.2001;4.791;4.901;5.153;5.076;0;0;0;0
31.10.2001;4.397;4.532;4.747;4.674;0;0;0;0
30.11.2001;4.555;4.677;4.916;4.836;0;0;0;0
31.12.2001;4.998;5.069;5.271;5.178;0;0;0;0
31.01.2002;4.905;4.983;5.186;5.086;0;0;0;0
28.02.2002;4.964;5.038;5.23;5.138;0;0;0;0
29.03.2002;5.255;5.333;5.51;5.427;0;0;0;0
30.04.2002;5.122;5.211;5.364;5.293;0;0;0;0
31.05.2002;5.168;5.256;5.394;5.359;0;0;0;0
28.06.2002;4.942;5.03;5.188;5.15;0;0;0;0
31.07.2002;4.752;4.835;4.997;4.946;0;0;0;0
30.08.2002;4.568;4.654;4.797;4.747;0;0;0;0
30.09.2002;4.272;4.391;4.577;4.456;0;0;0;0
31.10.2002;4.511;4.594;4.759;4.615;0;0;0;0
29.11.2002;4.49;4.56;4.701;4.565;0;0;0;0
31.12.2002;4.204;4.262;4.427;4.281;0;0;0;0
31.01.2003;4.072;4.123;4.277;4.117;0;0;0;0
28.02.2003;3.918;3.952;4.081;3.921;0;0;0;0
31.03.2003;4.044;4.124;4.209;4.047;0;0;0;0
30.04.2003;4.092;4.148;4.23;4.181;0;0;0;0
30.05.2003;3.721;3.776;3.846;3.793;0;0;0;0
30.06.2003;3.802;3.85;3.899;3.872;0;0;0;0
31.07.2003;4.19;4.202;4.338;4.232;0;0;0;0
29.08.2003;4.197;4.198;4.331;4.225;0;0;0;0
30.09.2003;3.995;4.05;4.141;4.008;0;0;0;0
31.10.2003;4.331;4.347;4.45;4.329;0;0;0;0
28.11.2003;4.457;4.467;4.572;4.454;0;0;0;0
31.12.2003;4.292;4.301;4.423;4.288;0;0;0;0
30.01.2004;4.24;4.262;4.375;4.304;0;0;0;0
27.02.2004;4.051;4.067;4.282;4.118;0;0;0;0
31.03.2004;3.931;4.01;4.179;4.013;0;0;0;0
30.04.2004;4.175;4.246;4.406;4.237;0;0;0;0
31.05.2004;4.374;4.4;4.564;4.396;0;0;0;0
30.06.2004;4.318;4.337;4.504;4.337;0;0;0;0
30.07.2004;4.216;4.235;4.401;4.235;0;0;0;0
31.08.2004;4.023;4.04;4.204;4.039;0;0;0;0
30.09.2004;3.991;4.056;4.163;4.004;0;0;0;0
29.10.2004;3.873;3.93;4.035;3.878;0;0;0;0
30.11.2004;3.793;3.791;3.88;3.74;0;0;0;0
31.12.2004;3.683;3.677;3.832;3.71;0;0;0;0
31.01.2005;3.547;3.538;3.665;3.56;0;0;0;0
28.02.2005;3.715;3.752;3.828;3.727;0;0;0;0
31.03.2005;3.622;3.66;3.758;3.64;0;0;0;0
29.04.2005;3.396;3.44;3.57;3.424;0;0;0;0
31.05.2005;3.274;3.289;3.488;3.265;0;0;0;0
30.06.2005;3.134;3.132;3.35;3.115;0;0;0;0
29.07.2005;3.243;3.25;3.451;3.232;0;0;0;0
31.08.2005;3.102;3.104;3.308;3.081;0;0;0;0
30.09.2005;3.148;3.194;3.349;3.13;0;0;0;0
31.10.2005;3.391;3.423;3.595;3.432;0;0;0;0
30.11.2005;3.455;3.457;3.634;3.474;0;0;0;0
30.12.2005;3.309;3.304;3.509;3.312;0;0;0;0
31.01.2006;3.467;3.477;3.692;3.477;0;0;0;0
28.02.2006;3.489;3.524;3.705;3.505;0;1;0;0
31.03.2006;3.771;3.807;4.068;3.791;0;1;0;0
28.04.2006;3.951;3.984;4.273;3.965;0;1;0;0
31.05.2006;3.982;3.992;4.301;3.981;0;1;0;0
30.06.2006;4.071;4.079;4.377;4.065;0;1;0;0
31.07.2006;3.921;3.93;4.218;3.922;0;1;0;0
31.08.2006;3.76;3.765;4.047;3.757;0;1;0;0
29.09.2006;3.709;3.72;3.993;3.715;0;1;0;0
31.10.2006;3.741;3.766;3.999;3.741;0;1;0;0
30.11.2006;3.695;3.716;3.94;3.731;0;1;0;0
29.12.2006;3.948;3.981;4.202;4.003;0;1;0;0
31.01.2007;4.1;4.147;4.316;4.145;0;1;0;0
28.02.2007;3.957;4.009;4.195;4.003;0;1;0;0
30.03.2007;4.057;4.113;4.289;4.11;0;1;0;0
30.04.2007;4.154;4.198;4.38;4.207;0;1;0;0
31.05.2007;4.422;4.457;4.618;4.462;0;1;0;0
29.06.2007;4.574;4.62;4.803;4.64;0;1;0;0
31.07.2007;4.347;4.439;4.659;4.464;1;1;0;0
31.08.2007;4.242;4.328;4.53;4.363;1;1;0;0
28.09.2007;4.329;4.413;4.601;4.439;1;1;0;0
31.10.2007;4.239;4.331;4.527;4.356;1;1;0;0
30.11.2007;4.126;4.262;4.484;4.318;1;1;0;0
31.12.2007;4.307;4.422;4.652;4.43;1;1;0;0
31.01.2008;3.93;4.054;4.311;4.132;1;1;0;0
29.02.2008;3.891;4.008;4.328;4.064;1;1;0;0
31.03.2008;3.899;4.11;4.421;4.223;1;1;0;0
30.04.2008;4.123;4.328;4.577;4.389;1;1;1;0
30.05.2008;4.405;4.592;4.857;4.62;1;1;1;0
30.06.2008;4.621;4.81;5.171;4.901;1;1;1;0
31.07.2008;4.355;4.534;4.903;4.672;1;1;1;0
29.08.2008;4.176;4.38;4.819;4.548;1;1;1;0
30.09.2008;4.015;4.345;4.896;4.595;1;1;1;0
31.10.2008;3.9;4.302;5.148;4.607;1;1;1;0
28.11.2008;3.258;3.678;4.462;3.89;1;1;1;0
31.12.2008;2.951;3.414;4.382;3.811;1;1;1;0
30.01.2009;3.296;3.806;4.714;4.394;1;1;1;0
27.02.2009;3.112;3.661;4.681;4.284;1;1;1;0
31.03.2009;2.994;3.553;4.394;4.051;1;1;1;0
30.04.2009;3.178;3.59;4.277;3.926;1;1;1;0
29.05.2009;3.589;3.953;4.483;4.285;1;1;1;0
30.06.2009;3.386;3.729;4.434;4.131;1;1;1;0
31.07.2009;3.3;3.569;4.16;3.846;1;1;1;0
31.08.2009;3.257;3.537;4.076;3.775;1;1;1;0
30.09.2009;3.22;3.537;4.015;3.808;1;1;1;0
30.10.2009;3.231;3.533;4.074;3.788;1;1;1;0
30.11.2009;3.159;3.419;4.017;3.747;1;1;1;0
31.12.2009;3.387;3.593;4.142;3.978;1;1;1;0
29.01.2010;3.196;3.461;4.115;4.12;1;1;1;0
26.02.2010;3.101;3.403;3.996;3.861;1;1;1;0
31.03.2010;3.092;3.42;3.981;3.816;1;1;1;0
30.04.2010;3.017;3.289;4.015;4.03;1;1;1;0
31.05.2010;2.66;2.921;4.144;4.258;1;1;1;0
30.06.2010;2.577;3.05;4.094;4.561;1;1;1;0
30.07.2010;2.669;2.945;3.954;4.211;1;1;1;0
31.08.2010;2.116;2.467;3.826;4.048;1;1;1;0
30.09.2010;2.278;2.659;3.879;4.123;1;1;1;0
29.10.2010;2.518;2.913;3.942;4.211;1;1;1;0
30.11.2010;2.67;3.154;4.667;5.503;1;1;1;0
31.12.2010;2.963;3.362;4.815;5.453;1;1;1;0
31.01.2011;3.155;3.534;4.723;5.368;1;1;1;0
28.02.2011;3.17;3.547;4.842;5.39;1;1;1;0
31.03.2011;3.354;3.713;4.822;5.297;1;1;1;0
29.04.2011;3.239;3.562;4.732;5.292;1;1;1;0
31.05.2011;3.02;3.388;4.781;5.364;1;1;1;0
30.06.2011;3.025;3.409;4.882;5.446;1;1;1;0
29.07.2011;2.538;3.225;5.868;6.081;1;1;1;0
31.08.2011;2.219;2.915;5.136;5.044;1;1;1;0
30.09.2011;1.887;2.602;5.537;5.136;1;1;1;0
31.10.2011;2.025;3.102;6.093;5.543;1;1;1;0
30.11.2011;2.28;3.391;7.021;6.231;1;1;1;0
30.12.2011;1.829;3.148;7.108;5.088;1;1;1;0
31.01.2012;1.787;3.05;5.954;4.974;1;1;1;0
29.02.2012;1.818;2.879;5.188;4.989;1;1;1;0
30.03.2012;1.794;2.89;5.116;5.353;1;1;1;0
30.04.2012;1.663;2.961;5.512;5.768;1;1;1;0
31.05.2012;1.2;2.356;5.895;6.561;1;1;1;0
29.06.2012;1.583;2.686;5.819;6.329;1;1;1;0
31.07.2012;1.285;2.063;6.083;6.749;1;1;1;1
31.08.2012;1.334;2.158;5.847;6.857;1;1;1;1
28.09.2012;1.442;2.178;5.092;5.938;1;1;1;1
31.10.2012;1.462;2.243;4.96;5.616;1;1;1;1
30.11.2012;1.386;2.05;4.498;5.317;1;1;1;1
31.12.2012;1.316;1.997;4.497;5.265;1;1;1;1
31.01.2013;1.68;2.257;4.311;5.183;1;1;1;1
28.02.2013;1.454;2.169;4.734;5.097;1;1;1;1
29.03.2013;1.289;2.025;4.763;5.06;1;1;1;1
30.04.2013;1.216;1.711;3.891;4.135;1;1;1;1
31.05.2013;1.505;2.074;4.157;4.44;1;1;1;1
28.06.2013;1.728;2.347;4.545;4.767;1;1;1;1
31.07.2013;1.67;2.233;4.406;4.654;1;1;1;1
30.08.2013;1.856;2.473;4.401;4.537;1;1;1;1
30.09.2013;1.779;2.324;4.431;4.298;1;1;1;1
31.10.2013;1.674;2.16;4.131;4.032;1;1;1;1
29.11.2013;1.693;2.151;4.057;4.12;1;1;1;1
31.12.2013;1.929;2.558;4.125;4.151;1;1;1;1
31.01.2014;1.659;2.228;3.768;3.659;1;1;1;1
28.02.2014;1.624;2.195;3.479;3.509;1;1;1;1
31.03.2014;1.566;2.084;3.292;3.23;1;1;1;1
30.04.2014;1.469;1.952;3.067;3.015;1;1;1;1
30.05.2014;1.358;1.767;2.963;2.854;1;1;1;1
30.06.2014;1.245;1.7;2.846;2.661;1;1;1;1
31.07.2014;1.155;1.53;2.695;2.505;1;1;1;1
29.08.2014;0.89;1.254;2.436;2.229;1;1;1;1
30.09.2014;0.947;1.285;2.333;2.14;1;1;1;1
31.10.2014;0.841;1.182;2.348;2.076;1;1;1;1
28.11.2014;0.7;0.97;2.034;1.895;1;1;1;1
31.12.2014;0.541;0.826;1.89;1.611;1;1;1;1
30.01.2015;0.302;0.536;1.594;1.423;1;1;1;1
27.02.2015;0.328;0.604;1.331;1.26;1;1;1;1
31.03.2015;0.18;0.476;1.242;1.212;1;1;1;1
30.04.2015;0.366;0.64;1.499;1.468;1;1;1;1
29.05.2015;0.487;0.796;1.848;1.838;1;1;1;1
30.06.2015;0.764;1.195;2.334;2.301;1;1;1;1
31.07.2015;0.644;0.936;1.772;1.842;1;1;1;1
31.08.2015;0.798;1.153;1.962;2.109;1;1;1;1
30.09.2015;0.587;0.985;1.725;1.892;1;1;1;1
30.10.2015;0.517;0.865;1.481;1.672;1;1;1;1
30.11.2015;0.473;0.789;1.418;1.521;1;1;1;1
31.12.2015;0.629;0.988;1.596;1.771;1;1;1;1
29.01.2016;0.325;0.636;1.415;1.512;1;1;1;1
29.02.2016;0.107;0.468;1.423;1.53;1;1;1;1
31.03.2016;0.153;0.486;1.221;1.437;1;1;1;1
29.04.2016;0.271;0.634;1.489;1.593;1;1;1;1
31.05.2016;0.139;0.477;1.356;1.473;1;1;1;1
30.06.2016;-0.13;0.182;1.258;1.163;1;1;1;1
29.07.2016;-0.119;0.103;1.169;1.019;1;1;1;1
31.08.2016;-0.065;0.179;1.145;1.013;1;1;1;1
30.09.2016;-0.119;0.186;1.188;0.88;1;1;1;1
31.10.2016;0.163;0.467;1.663;1.199;1;1;1;1
30.11.2016;0.275;0.752;1.988;1.551;1;1;1;1
30.12.2016;0.208;0.686;1.815;1.384;1;1;1;1
31.01.2017;0.436;1.038;2.262;1.598;1;1;1;1
28.02.2017;0.208;0.89;2.086;1.655;1;1;1;1
31.03.2017;0.328;0.97;2.318;1.667;1;1;1;1
28.04.2017;0.317;0.836;2.282;1.648;1;1;1;1
31.05.2017;0.304;0.734;2.203;1.553;1;1;1;1
30.06.2017;0.466;0.815;2.158;1.539;1;1;1;1
31.07.2017;0.543;0.802;2.094;1.5;1;1;1;1
31.08.2017;0.361;0.662;2.045;1.562;1;1;1;1
29.09.2017;0.464;0.743;2.111;1.604;1;1;1;1
